content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
N+++++++ Fronto,??? Fronto,Latin,n fronto,on the front,,
S[+1+]i&#768;vestrum (:Silvestrum),Silvestrum,Latin,s1ìsilvestrum,s1ìsvestrum,,
III K(alendas) Mart(is),3 days before the Kalends of March (=Feb. 27th),Latin,iii kalendas martis,3rd Tuesday,,
"Felix
bene futues","good luck, you'll be fine",Latin,"felix, bene futues","good luck, you'll be fine",,
"Arruntius
XXVII
A(ssibus?)",Arruntius 27 asses (coins),Latin,"arruntius, xxvii, assibus","aruntius, xxvii, asses",,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of letters),Latin,,,,
L(uci) Pomponi,"Oh, Lucius Pomponius",Latin,luci pomponi,light pompon,,
Vesbine copo (:caupo) va(le),Goodbye to the restaurant,Latin,vesbine caupo vale,Goodbye to the restaurant,,
NO&#12296;:vacat&#12297;NI,(Series of letters),Latin,noni,the ninth,,
"Dea nolo cenam v(e)nde(re)
chirograp(h)um s","goddess I don't want to sell the dinner, the note s",Latin,"dea nolo cenam vendere, chirographum s","goddess I don't want to sell the dinner, the note s",,
"Datu (:Datur?)
TYRANOPANEVM+",(Bread fit for a king?) is being given,Latin,"datur, tyranopanevm","it is given, tyranopanevm",,
CC CI CDIC++,(Numerals or scribbles?),Latin,cc ci cdic,cc ci cdic,,
"qui modo mo[- - -]
erminuca","he who only grieves, erminuca",Latin,"qui modo moest, erminuca","he who only grieves, erminuca",,
MINI,Mini(us?),Latin,mini,mini,,
MSNI&#803;S&#803;,(Incomprehensible series of letters),Latin,msnịṣ,msnịṣ,,
Clodiae,clodia,Latin,clodiae,clodia,,
N&#770;E,do not,Latin,n̂e,do not,,
"&#12296;:pars I&#12297;
S
&#12296;:vacat&#12297;
&#916;

&#12296;:pars II&#12297;
rotas
opera 
tenet
arepo
sator

&#12296;:pars III&#12297;
A N O","(Five words that can be read horizontally or vertically, backward and forward)",Latin,", s, , δ, , , rotas, opera , tenet, arepo, sator, , , a n o",", s, , δ, , , wheels, works, holds, arepo, sower, , , a n o",,
Noct(---?),night,Latin,noct,night,,
"Lucilius 
Lucidae suae 
ubique sal(utem)",Lucilius greets his Lucida everywhere,Latin,"lucilius , lucidae suae , ubique salutem","His light, his light, greetings everywhere",,
IIIIIIIIIIIIIIIIIIIII IIIIIIIIIIIII,"20, 12",Latin,iiiiiiiiiiiiiiiiiiiii iiiiiiiiiiiii,iiiiiiiiiiiiiiiiii iiiiiiiiiiii,,
quos L(---) V(---) P(---) amat valeant,May those whom L(ucius) V(---) P(---) loves be well. (N.B. This is a personalized version of a well-known poem.),Latin,quos l v p amat valeant,those whom l v p loves may be strong,,
Nicopolis v&#770;a(le),"Nicopolis, bye!",Latin,nicopolis v̂ale,leave Nicopolis,,
[C]ypare va(le),"[C]ypare, bye!",Latin,cypare vale,good bye,,
QVA,Where? (How?),Latin,qva,what,,
venimus,we came,Latin,venimus,we came,,
Quartila (:Quartilla) va(le),"Quartila, bye!",Latin,quartilla vale,goodbye quartet,,
X,10,Latin,x,x,,
"FV
L",(Individual letters),Latin,"fv, l","fv, l",,
At[r&#803;](---?),atṛ,Latin,atṛ,atṛ,,
"Anus
vita(e) m=
eminit
scio
Aquiti
mortis 
t[a]e=
duisti",An old woman remembers life. I know: you were bothered by the death of Aquitius (?).,Latin,"anus, vitae m=, eminit, scio, aquiti, mortis , tae=, duisti","anus, m= of life, stands out, I know, watered, of death, tae=, duisti",,
"Qui mihi docendi
dederit mercedem,
abeat (:habeat) quod
petit a superis",May he who has given me payment for teaching have that which he asks from the gods.,Latin,"qui mihi docendi, dederit mercedem,, habeat quod, petit a superis","he who will give me a reward for teaching, let him have what he asks from above",,
"Mari
Victor[ius]
",victor of the sea,Latin,"mari, victorius, ",victor of the sea,,
C(aius) T(---?) Lux,C. T. Lux,Latin,caius t lux,caius t light,,
"Auctus
Popidi BIQV (:ubique)","Auctus (slave of ?) Popidius, everywhere",Latin,"auctus, popidi ubique","increased, restaurants everywhere",,
"&#12296;:textus non legitur&#12297;
",(Incomprehensible series of characters),Latin,", ",",",,
"Quota s(unt?) capita dua
sella quadru&#770;a
equales di&#768;na vix
XI","how much are the two heads, the four-sided chair, scarcely equal to each other, xi",Latin,"quota sunt capita dua, sella quadrûa, equales dìna vix, xi","how much are the two heads, the four-sided chair, scarcely equal to each other, xi",,
Nicopolis va&#770;l&#770;e,"Nicopolis, Bye!",Latin,nicopolis vâl̂e,Nicopolis Valley,,
"Beronice
[h]abenda
futuere","beronice, to be held, to play",Latin,"beronice, habenda, futuere","beronice, to be held, to play",,
"Restitutus
((:nomen RESTITVTVS in forma navis scriptum)) 
","restored, the name of the restitvtvs written in the shape of a ship,",Latin,"restitutus, nomen restitvtvs in forma navis scriptum , ","restored, the name of the restitvtvs written in the shape of a ship,",,
"Aelius Magnus Plotillae suae
rogo domina  salutem","the great air of his plot, I beg you to greet the lady",Latin,"aelius magnus plotillae suae, rogo domina salutem","the great air of his plot, I beg you to greet the lady",,
December bene futuis,December is good fun,Latin,december bene futuis,December is good fun,,
"Scordopordonicus hic bene
fuit (:futuit) quem voluit","the scorpodonicus here well, he fucked whomever he wanted",Latin,"scordopordonicus hic bene, futuit quem voluit","the scorpodonicus here well, he fucked whomever he wanted",,
Hermeros hic futuit,here he poked the hermes,Latin,hermeros hic futuit,here he poked the hermes,,
"Crescens. Eu=
ant&#770;il(lus?)
Paris, v&#770;a(le)","growing eu=, ant̂illus, par, v̂ale",Latin,"crescens. eu=, ant̂illus, paris, v̂ale","growing eu=, ant̂illus, par, v̂ale",,
Q(uinto) Postumio Modesto fil(i)c(iter) (:feliciter),"on the fifth posthumous, happily, happily",Latin,quinto postumio modesto filiciter feliciter,"on the fifth posthumous, happily, happily",,
"Lucciae
cu[---]ma&#803;
[------]","Lucciae, cu.mạ,",Latin,"lucciae, cu.mạ, ","Lucciae, cu.mạ,",,
Fructus,fruits,Latin,fructus,fruits,,
"As(ses) IV
divitias
s(cripula?) III","assets iv, riches, scripula iii",Latin,"asses iv, divitias, scripula iii","assets iv, riches, scripula iii",,
"Sabidia
Abonius","Sabidia, Abonius",Latin,"sabidia, abonius","savidia, abonius",,
Vi(c)torius,victorious,Latin,victorius,victorious,,
Placidus hic futuìt quem voluìt,He calmly fucked the one he wanted,Latin,placidus hic futuìt quem voluìt,He calmly fucked the one he wanted,,
IC (:nonaginta novem),ic ninety-nine,Latin,ic nonaginta novem,ic ninety-nine,,
CVI (:centum sex),five hundred and six,Latin,cvi centum sex,five hundred and six,,
"Vitalio
bene futues","vitally, you will be fine",Latin,"vitalio, bene futues","vitally, you will be fine",,
cor i&#7779;,the heart is,Latin,cor iṣ,the heart is,,
"Felix futu[it]
cum
",he was happy when,Latin,"felix futuit, cum, ",he was happy when,,
Vìctoria ìnvicta hic,victoria unconquered here,Latin,vìctoria ìnvicta hic,victoria unconquered here,,
pedicare volo,I want to have a pedicure,Latin,pedicare volo,I want to have a pedicure,,
"hic ego cum veni futui
deìnde redei (:redii) domì
","when I came here I was fooled, and then I returned home,",Latin,"hic ego cum veni futui, deìnde redii domì, ","when I came here I was fooled, and then I returned home,",,
Prima cum suo hac,the first with this,Latin,prima cum suo hac,the first with this,,
Faustus FO+[+5?+]A&#818;N&#818;N&#803;VS&#803;,Faustus (...other letters here),Latin,faustus fo5a̲n̲ṇvṣ,lucky fo5a̲n̲ṇvṣ,,
N(umeri) Popidi,number of restaurants,Latin,numeri popidi,number of restaurants,,
"S[t]ano sis gemm(a)
[- - -]&#7746;O&#7770;[- - -]","you are a gem, aṃoṛ.",Latin,"stano sis gemma, aṃoṛ.","you are a gem, aṃoṛ.",,
"Li(n)ge ((:phallus ad sin. versus)), Aspasia","lick the phallus to the sin versus, aspasia",Latin,"linge phallus ad sin. versus, aspasia","lick the phallus to the sin versus, aspasia",,
IIIIIIIII,9,Latin,iiiiiiiii,iiiiiiiii,,
"Hormus
Ho
Hormus","Hormus
Ho(rmus)
Hormus",Latin,"hormus, ho, hormus","hormus, ho, hormus",,
"Verna Vernionis
Secundus
Secundus","the spring of winter, the second, the second",Latin,"verna vernionis, secundus, secundus","the spring of winter, the second, the second",,
in contra p(ondo?) VI ((scripula?)) VIII,"on the other hand, the force of the weight of scripture viii",Latin,in contra pondo vi scripula viii,"on the other hand, the force of the weight of scripture viii",,
Lolius (:Lollius),lollius,Latin,lollius,lollius,,
Memor,memory,Latin,memor,memory,,
Pari(di?),pared,Latin,paridi,pared,,
Marca,mark,Latin,marca,mark,,
Fructus,fruits,Latin,fructus,fruits,,
Her(meros?),Hermes,Latin,hermeros,Hermes,,
"Bellicus hic futuit quendam
[l]&#7909;culentissimo (:luculentissime) fut[ui]
","this warrior fucked a certain one, fucked very brightly,",Latin,"bellicus hic futuit quendam, lluculentissime futui, ","this warrior fucked a certain one, fucked very brightly,",,
Iulius Quintus,July the fifth,Latin,iulius quintus,July the fifth,,
Facilis hic futuit,It's easy to screw up here,Latin,facilis hic futuit,It's easy to screw up here,,
"VIIII K(alendas) Febr(uarias) 
tabulas positas
in muscario 
CCC VIIII  [S&#818;S&#818; C&#818;C&#818;C&#818;C&#818; X&#818;X&#818;X&#818;]","8 february calendars, tables placed, in muscario, ccc 8 s̲s̲ c̲c̲c̲c̲ x̲x̲x̲",Latin,"viiii kalendas februarias , tabulas positas, in muscario , ccc viiii s̲s̲ c̲c̲c̲c̲ x̲x̲x̲","8 february calendars, tables placed, in muscario, ccc 8 s̲s̲ c̲c̲c̲c̲ x̲x̲x̲",,
"Apsyrtus 
Lacene (:Lacenae)
u&#770;b&#770;i&#770;q(ue)","Apsyrtus: (Greetings) to Lacena, everywhere",Latin,"apsyrtus , lacenae, ûb̂îque","hidden, hidden, and everywhere",,
"IIIIII
VIII III","6 (written vertically), 8, 3",Latin,"iiiiii, viii iii","iiiiii, viii iii",,
"Ver+++
felas (:fellas)
Fortuna sic","Spring, fellas, good luck",Latin,"ver, fellas, fortuna sic","Spring, fellas, good luck",,
"Menander
bellis moribus
aeris ass(ibus) II","Menander, with nice manners,(for) two bronze asses",Latin,"menander, bellis moribus, aeris assibus ii",ii,,
C(aius) Voconius,Gaius Voconius,Latin,caius voconius,caius voconius,,
vidimus hoc,we saw this,Latin,vidimus hoc,we saw this,,
IL Poppai EINERI,he was sent to the poppai,Latin,il poppai eineri,he was sent to the poppai,,
Iarinus,iarinus,Latin,iarinus,iarinus,,
Pithia Prima cum Spartitundiolo hac modo,the first pythia with spartitundiolo in this way,Latin,pithia prima cum spartitundiolo hac modo,the first pythia with spartitundiolo in this way,,
"Ibi et tu es
EGROTENE SOIP
HATS","there you are, too, soip, hats",Latin,"ibi et tu es, egrotene soip, hats","there you are, too, soip, hats",,
"Severus
Severus","severe, severe",Latin,"severus, severus","severe, severe",,
Elene (:Helene),Helen,Latin,helene,Helen,,
XIX K(alendas) Fe&#803;bruarias,February 19th,Latin,xix kalendas fẹbruarias,February 19th,,
Cadia,cadia,Latin,cadia,cadia,,
"Myrtale
CCassa&#803;","myrtle, ccassà",Latin,"myrtale, ccassạ","myrtle, ccassà",,
Felicla (:Feliculam) ego f,I am happy f,Latin,feliculam ego f,I am happy f,,
O(---?) Mucius,O(---?) Mucius,Latin,o mucius,o mucus,,
"Corinthus Nolanus
[- - - - - -]",Corinth Nolan,Latin,"corinthus nolanus,   ",Corinth Nolan,,
"Fortunate
[- - - - - -]
[- - - - - -]",luckily,Latin,"fortunate,   ,   ",luckily,,
"Felix cum
Fortunat&#7841;","happy with, lucky",Latin,"felix cum, fortunatạ","happy with, lucky",,
Caius cum I,caius with i,Latin,caius cum i,caius with i,,
Daphnicus cum Felicla (:Felicula) sua hic,Daphnicus with his Felicula (was) here,Latin,daphnicus cum felicula sua hic,the Daphnic with its happiness here,,
"ubique fortis
hoc cum fe=
m[---]s a[---]
XVVI","everywhere strong, this with fe=, mis a=, xvvi",Latin,"ubique fortis, hoc cum fe=, mis a=, xvvi","everywhere strong, this with fe=, mis a=, xvvi",,
[- - -]r Feliculae s(alutem),(?)r (says) greetings to Felicula,Latin,accipiter feliculae salutem,happy hawk greetings,,
Venis,(Translation uncertain without context),Latin,venis,come,,
"Salute&#803;(m) ven(ientis)
ven(ientis)
III",To the health of the one entering,Latin,"salutẹm venientis, venientis, iii","Salutation to the coming, coming, iii",,
DVS,DVS,Latin,dvs,i.e,,
XIIIIIIIIIIIIIIIIIIII,xiiiiiiiiiiiiiiiiii,Latin,xiiiiiiiiiiiiiiiiiiii,xiiiiiiiiiiiiiiiiii,,
Quacumque +VT,Wherever . . .,Latin,quacumque vt,whatever,,
"Homini
M C M
","to man, m c m",Latin,"homini, m c m, ","to man, m c m",,
"Ro
Ro","Ro(?), Ro(?)",Latin,"ro, ro","ro, ro",,
"VCCXCII &#12296;:vacat&#12297; CXXCIVI
V CCXC
V CCCXIII V CCVXI
&#12296;:vacat&#12297; CC LXXIIX &#12296;:vacat&#12297; CCLXX","V 210, 102   120, 101, 6
V 290
V 313  V 205, 9
200 78  270",Latin,"vccxcii cxxcivi, v ccxc, v cccxiii v ccvxi, cc lxxiix cclxx","vccxcii cxxcivi, v ccxc, v cccxiii v ccvxi, cc lxxiix cclxx",,
C Piero&#803;,c piero,Latin,c pierọ,c piero,,
I I I I I I I I I       I I I I I I I I       X X I I [---],i i i i i i i i i i i i i i i i x x i i .,Latin,i i i i i i i i i    i i i i i i i i    x x i i .,i i i i i i i i i i i i i i i i x x i i .,,
"Fortuna=
te linge
culu (:culum)","Fortunatus, lick butt",Latin,"fortuna=, te linge, culum","fortune=, lick you, tail",,
"Melisse v&#770;a(le)
hac(?)","melisse v̂ale, hac",Latin,"melisse v̂ale, hac","melisse v̂ale, hac",,
"Domine (:Dominae) V&#773;V&#773; I&#773;I&#773;I&#773;
Domino V&#773; 
Severo III((semis))
Domino VI VIII IIII","To the mistress (female head of the household) - 5, 5, 3
To the master - 5
To Severus - 3 1/2
 To the master - 6, 8, 4",Latin,"dominae v̅v̅ i̅i̅i̅, domino v̅ , severo iiisemis, domino vi viii iiii","lady v̅v̅ i̅i̅i̅, lord v̅ , severely iiisemis, lord vi viii iiii",,
Cum quidam paup (:pauper),When a certain poor man...,Latin,cum quidam pauper,when a certain poor man,,
Chloe Acti Castresis (:Castrensis),chloe was driven to camp,Latin,chloe acti castrensis,chloe was driven to camp,,
Fures for[as],thieves outside,Latin,fures foras,thieves outside,,
Ionaei,Ionaeus,Latin,ionaei,Ionaeus,,
"XNAXIIIDIIII
DII LX",(Incomprehensible series of letters),Latin,"xnaxiiidiiii, dii lx","xnaxiiiiii, dii lx",,
T&#803;(itus) I&#803;r&#803;r&#803;i&#803;u&#803;s&#803;,Titus Irrius,Latin,ṭitus ịṛṛịụṣ,ṭitus ịṛṛịụṣ,,
A&#770; A&#770;cti,"Oh, Aulus Actius!",Latin,â âcti,â â,,
"OPEVAL++L[- - -]
PLA[- - -]","opevall., pla.",Latin,"opevall., pla.","opevall., pla.",,
&#12296;:litterae scriptae sunt retroversae&#12297; C D O E C AIO,(Series of letters written backwards),Latin, c d o e c aio,c d o e c aio,,
"Sodales, avete","Friends, hello!",Latin,"sodales, avete","friends, welcome",,
Gallus,Gallus,Latin,gallus,rooster,,
Lib&#803;era&#803;lis II,Liberalis - two,Latin,liḅerạlis ii,liḅerẬlis ii,,
"XI K(alendas) Febr(uarias) Eupor
Omnes XX","On the 11th of February, all 20",Latin,"xi kalendas februarias eupor, omnes xx","On the 11th of February, all 20",,
"Accipe Mars vetors (:vecors)
",take the mars vecor,Latin,"accipe mars vecors, ",take the mars vecor,,
PV+IIIDIS,pviii,Latin,pviiidis,pviii,,
SRQ,srq,Latin,srq,srq,,
Clleri genes&#803;[---]  (:Cllerigenes?),clleri geneṣ: cllerigenes,Latin,clleri geneṣ: cllerigenes,clleri geneṣ: cllerigenes,,
"VIII 
",8,Latin,"viii , ",viii,,
Coliatius (:Collatius?),Collatius,Latin,collatius,more complacent,,
MO,MO,Latin,mo,mo,,
"Mune&#803;r&#803;
",munẹṛ,Latin,"munẹṛ, ",munẹṛ,,
"Commu=
nis",Communis,Latin,"commu=, nis","commu=, nis",,
"Sautran(e)
v&#770;a(le)","Bye, Saturanus(?)",Latin,"sautrane, v̂ale","sautrane, ̂ale",,
VIIII ((semis)),8.5,Latin,viiii semis,8 semis,,
Blastus,Blastus,Latin,blastus,blasted,,
L(ucius) Atilius,Lucius Atilius,Latin,lucius atilius,more light,,
"&#12296;:stria 1&#12297;
X 
 
&#12296;:stria 2&#12297;
O 
 
&#12296;:stria 8&#12297;
A 
 
&#12296;:stria 12&#12297;
M 
 
&#12296;:stria 14&#12297;
X
 
&#12296;:stria 20&#12297;
 X",(Individual letters),Latin,", x , , , o , , , a , , , m , , , x, , , x",", x , , , o , , , a , , , m , , , x, , , x",,
Licaria (:Ligaria),??,Latin,ligaria,ties,,
"Mansuetus provocator
victor Veneri par=
mam (:palmam) feret","the tame challenger, the winner of the venerable match, will bear the palm",Latin,"mansuetus provocator, victor veneri par=, palmam feret","the tame challenger, the winner of the venerable match, will bear the palm",,
R,R,Latin,r,r,,
Conti(cuere),to connect,Latin,conticuere,to connect,,
A(ulum) Treb[ium aed(ilem)] d(ignum) r(ei) p(ublicae),a tribune of the aedile worthy of the state,Latin,aulum trebium aedilem dignum rei publicae,a tribune of the aedile worthy of the state,,
"Eulymen&#803;
",Eulymen(us),Latin,"eulymeṇ, ",eulymen,,
+ scripsi Venerem Poppae[ae] Triquinias,I wrote that I would come to Poppaea's triquinias,Latin, scripsi venerem poppaeae triquinias,I wrote that I would come to Poppaea's triquinias,,
LVIIII,59,Latin,lviiii,lviii,,
[- - -]ius cum Fronto[ne],? with Fronto,Latin,polybius cum frontone,polybius with pediment,,
C(aius) Vinif&#803;(---?),caius vinif̣,Latin,caius vinif̣,caius vinif̣,,
"&#12296;:stria 10&#12297;
V

&#12296;:stria 12&#12297;
R 

&#12296;:striae 15-16&#12297;
SSS 

&#12296;:stria 17&#12297;
R",(Individual letters),Latin,", v, , , r , , , sss , , , r",", v, , , r , , , sss , , , r",,
"VI
",6,Latin,"vi, ",force,,
Clavos LXXXVII,87 nails,Latin,clavos lxxxvii,637 nails,,
Aedilem Proculam (:Proculum) [[CR]] cunctorum turba probavit. Hoc pudor ingenuus postulat et pietas,The crowd approved the aedile prologue. this natural shame demands and piety,Latin,aedilem proculum cr cunctorum turba probavit. hoc pudor ingenuus postulat et pietas,The crowd approved the aedile prologue. this natural shame demands and piety,,
"silig
habi (:habenam)
col (:coliculum)
bet (:betam)
men (:mentam)
coeloe(?)","wheat flour
HABI (?)
cabbage
beetroot
mint
(unrecognizable word)",Latin,"silig, habenam, coliculum, betam, mentam, coeloe","willow, habanum, colic, beet, mint, coelom",,
"IIIIIIIIIIIIIIIIIIIIIIIII

&#12296;:pone hanc?&#12297;
IIIIIIIIIIIIIIIIIIIIIII

&#12296;:infra?&#12297;
IIIIIIIIIIIIIIIIIIIIIIIIIIIII","25

23

29",Latin,"iiiiiiiiiiiiiiiiiiiiiiiii, , , iiiiiiiiiiiiiiiiiiiiiii, , , iiiiiiiiiiiiiiiiiiiiiiiiiiiii","iiiiiiiiiiiiiiiiiiiiiiii, , , iiiiiiiiiiiiiiiiiiiiiiii, , , iiiiiiiiiiiiiiiiiiiiiiiiiiiiii",,
Fortu&#7751;(atus?),Fortun(atus?),Latin,fortuṇatus,lucky,,
"Genialis cum&#803;
Thelone
",Genialis with Thelon,Latin,"genialis cuṃ, thelone, ","genius cuṃ, taxon,",,
"Oliva condita
XVII K(alendas) Novembres","seasoned olive, the 17th of November",Latin,"oliva condita, xvii kalendas novembres","seasoned olive, the 17th of November",,
Victor va&#803;(le),good victor,Latin,victor vạle,good victor,,
"Iucudus (:Iucundus)
male cala","pleasant, ill cala",Latin,"iucundus, male cala","pleasant, ill cala",,
"IOCHV
TIYS","iochv, tiys",Latin,"iochv, tiys","iochv, tiys",,
"&#12296;:textus in tabula ansata&#12297;

Aug(usto)
feli=
citer",", , augustus, feli=, citer",Latin,", , augusto, feli=, citer",", , augustus, feli=, citer",,
Mam&#803;,maṃ,Latin,maṃ,maṃ,,
"&#12296;:stria 11&#12297;
A

&#12296;:stria 12&#12297;
A",(Individual letters),Latin,", a, , , a",", a, , , a",,
Luca (:Lucanica),Lucanian (sausage),Latin,lucanica,Lucanica,,
"Moram si quaeres,
sparge miliu (:milium) et col=
lige","If you want to waste time, scatter millet and pick it up",Latin,"moram si quaeres,, sparge milium et col=, lige","if you want a delay, sprinkle millet and col=, bind",,
"quis (:quisquis) amat valeat pereat qui 
nescit amare bis tanto pereat 
quisquis amare vetat 
",whoever loves may perish; whoever does not know how to love perishes twice as much; whoever forbids love,Latin,"quisquis amat valeat pereat qui , nescit amare bis tanto pereat , quisquis amare vetat , ",whoever loves may perish; whoever does not know how to love perishes twice as much; whoever forbids love,,
S P R,s.p.r,Latin,s p r,s.p.r,,
SER,Ser,Latin,ser,Ser,,
Floronius,Florinius,Latin,floronius,Florinius,,
"C&#818;a&#818;l&#818;os (:&#954;&#945;&#955;&#972;&#962;?) Paris isse (:ipse)
S&#818;eptentrio&#818;",,Latin/Greek,"c̲a̲l̲os καλός paris ipse, s̲eptentrio̲",,,
&#924;&#959;&#955;&#945; &#966;&#959;&#965;&#964;&#959;&#965;&#964;&#961;&#953;&#962;,,Latin/Greek,μολα φουτουτρις,,,
"V&#7865;&#7789;&#7789;&#7883;us 
cu[n]num 
liget (:lingit) Opt=
&#12296;:vacat&#12297;atus (:Optatus)","vṭṭṭịus, cunn, licks opt=, desired",Latin,"vẹṭṭịus , cunnum , lingit opt=, optatus","vṭṭṭịus, cunn, licks opt=, desired",,
"Floronius
binet ac miles
leg(ionis) VII hic
fuit neque
mulieres
scierunt nisi
paucae et
ses erunt","Floronius . . ., soldier of the 7th legion, was here, and women didn't know, except for a few – and there were six!",Latin,"floronius, binet ac miles, legionis vii hic, fuit neque, mulieres, scierunt nisi, paucae et, ses erunt","Florinius, a binet and a soldier, of the 7th legion, was not here;",,
[---] I I I I I I I        I I I I I I I I I I I I       X I I I I I · X [---]       X X        I I I I I I I I,i i i i i i i i i i i i i i i i i i i x i i i i i · x x x x i i i i i i i i,Latin,i i i i i i i i    i i i i i i i i i i i i    x i i i i i · x x    x x    i i i i i i i i,i i i i i i i i i i i i i i i i i i i x i i i i i · x x x x i i i i i i i i,,
