content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
((centuria)) Valentis,"Textus secundum (2), contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>v. 1: &#390;  significat ((centuria)) vel ((centurionis))<br>Nomen Valentis bis in campo ad amphitheatrum scriptus est (etiam in col. CIII, EDR167728).<br>Hic titulus trans strias 10 et 11 et fasciolam inter eas scriptus est (4).<br>Octo tituli in campo ad amphitheatrum hoc signum (centurio?) mostrant: EDR127297 (col. XIV), EDR127160 (col. XXIX), EDR127807 (col. XXXIV), EDR128067 (col. LXVIII), EDR128082 (col. LXIX), EDR127579 et EDR127578 (col. LXXIII), EDR167976 (col. LXXXV).<br>In eadem columna: EDR173880 (stria 5) and EDR127186 (striae 7-8).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXIV, striae 10-11",The century (unit) of Valens,Graffito mentioning a centurion?,Graffito/incised,Latin,8614,"AGP-EDR127807, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127807&gt; [accessed: 27 Mar 2023]","col. XXXIV, striae 10-11",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Prima,"Textus secundum (2); periit (3). Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et tectorio abraso non invenerunt.<br><br>Supra EDR127827 (NEC PHYRGAS / EXTABANT. QVID / AGIT APEX DEXTER)<br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823,  EDR073638 (stria 10);  EDR167589 (stria 13); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 14",Prima,Graffito naming Prima,Graffito/incised,Latin,8624a,"AGP-EDR127826, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127826&gt; [accessed: 27 Mar 2023]","col. LXI, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Nonnius


","Textus secundum (2); mensura altitudinis secundum (1), aliae mensurae secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et non invenerunt.  Lapsu tectorii, periit (3).<br>v. 1: fortasse coniungendus cum EDR127231 (2)<br>Supra EDR127231, EDR127233, EDR127234 <br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823,  EDR073638 (stria 10);  EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR167628 (stria 16-17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 15",Nonnius,Graffito naming Nonnius,Graffito/incised,Latin,8625a,"AGP-EDR127140, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127140&gt; [accessed: 27 Mar 2023]","col. LXI, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Eo
v&#770;a(le)
Chloe","Textus et mensurae secundum (2), periit (7). Contulerunt Sypniewski et Benefiel (AGP) a. 2019; vestigia in tectorio corroso adhuc a. 2019 extant. <br><br>Nomen Chloe sexies in campo ad amphitheatrum invenitur: col. XXXI (EDR127423), col. LXI (EDR127817), col. LXII in tribus striis contiguis (4-6) et in eadem altitudine (hic titulus, EDR128116, EDR128118), et col. LXIII (EDR127368).  <br>Chloe erat actor (3),(5) aut meretrix (4),(6). <br>Chloe cum Actio Aniceto (alibi dominus scaenicorum appellatur) in Regio VII.6.35 (CIL 04, 01646, et add. p. 210) nominatur (3). <br>In eadem columna EDR129116, EDR129117, EDR127145, EDR127242 (stria 5); EDR128118, EDR127155 (stria 6); EDR127151 (stria 7); EDR127237 (stria 12); EDR127414, EDR159691 (stria 15); EDR127149 (stria 15-18)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXII, stria 4","Hey- bye, Chloe!",Greetings to Chloe,Graffito/incised,Latin,8626a,"AGP-EDR127428, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127428&gt; [accessed: 27 Mar 2023]","col. LXII, stria 4",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Aptus,"Textus secundum (2), mensurae secundum (4). Periit (3). Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>Supra EDR127806, EDR127808<br>In eadem columna EDR127790 (stria 13-14); EDR128114 (striae 14, 16); EDR167499 (stria 15); EDR127368 (stria 16)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIII, stria 12",Aptus,Graffito naming Aptus,Graffito/incised,Latin,8632a,"AGP-EDR127801, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127801&gt; [accessed: 27 Mar 2023]","col. LXIII, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
((:avis in saxo stans)),"Textus et mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Titulus descriptus sic: disegnino schematico dell'ulula stante, a sinistra, sopra un blocco di roccia, probabile attributo a Minerva (1), parva ulula in saxo stans (2), kleiner Vogel nach links und Eule steht auf einem Stein (3).  <br>v. 1: Una avis sola in saxo delineata est (4)<br>Prope EDR127368 (stria 16)<br>In eadem columna EDR127801, EDR127806, EDR127808 (stria 12); EDR127790 (stria 13-14); EDR128114 (striae 14, 16)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIII, stria 15",,Drawing of a bird,Graffito/incised,,8635,"AGP-EDR167499, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167499&gt; [accessed: 27 Mar 2023]","col. LXIII, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Bird standing on a rock,((:avis in saxo stans))
ABCDEH,"Textus et mensurae secundum (2).  Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3).<br>v. 1: ABCDEF (1)<br>v. 1: II pro littera E scriptum <br>Prope EDR128098 (stria 15)<br>In eadem columna EDR127810 (stria 4); EDR167500 (stria 6); EDR127811 (stria 8); EDR127813 (stria 12); EDR128097 (striae 8-9)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIV, striae 16",,Alphabet,Graffito/incised,Latin,9286,"AGP-EDR167629, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167629&gt; [accessed: 27 Mar 2023]","col. LXIV, striae 16",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
((:avis? ad sin.)),"Textus et mensurae secundum (4). Periit (3), sed contulerunt Sypniewski et Benefiel (AGP) a. 2019 et vestigia in tectorio corroso adhuc extant. <br>v. 1: figura incedens ad sin. cruribus longis et pedibus animalis volucris videtur, similis ciconia vel grus (4)<br>Titulus descriptus sic: un rozzo disegno non completato di un volatile incedente a sinistra (1), avis (?) ad sin. incedens rustice delineata (2), Vogel ? nach links (3)<br>In eadem columna EDR127835 (stria 13), EDR127833 (striae 13-14), EDR171304 (striae 15-16), EDR127838 (stria 20)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXV, stria 4",,Drawing of a bird?,Graffito/incised,,8639,"AGP-EDR167501, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167501&gt; [accessed: 27 Mar 2023]","col. LXV, stria 4",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Bird(?) facing left,((:avis? ad sin.))
"((:gladiator armatus, thraex?))","Textus et mensura secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>v. 1: titulus trans utrasque fasciolas scriptus est (4).  <br><br>Permulti tituli crebri in hac columna inveniuntur:<br>In stria 5, SABIDIA / ABONIVS (EDR167690) et hic titulus, infra.<br>In stria 6, tres imagines et unus titulus inscripti sunt: caput hominis ad sin. (EDR167547), COPO (EDR168185), clipeus (EDR123457), et scyphus (EDR123458).<br>In stria 8, alterum caput hominis ad sin. (EDR167544).<br>In stria 13, X (EDR167692) et et QVIBVS (EDR167691). <br>Etiam in eadem columna, in striis 14-16 MARE (EDR167694); in stria 15, A. LICINIVS  (EDR167695) et IVCVDVS / MALE CALA (EDR167696); in stria 16, caput hominis ad sin. (EDR167550); in stria 17 textus ad perpendiculum qui non legitur (EDR167697).<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXIX, stria 5",,Drawing of a gladiator,cetera,,8712,"AGP-EDR167542, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167542&gt; [accessed: 27 Mar 2023]","col. LXXXIX, stria 5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,"Armed gladiator, Thracian(?)","((:gladiator armatus, thraex?))"
((centuria)) Luccei,"Textus secundum (2), mensurae ex apographo apud (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3). <br>v. 1: II pro littera E scriptum<br>Octo tituli in campo ad amphitheatrum hoc signum (centurio?) mostrant, EDR127297 (col. XIV), EDR127160 (col. XXIX), EDR127807 (col. XXXIV), EDR128067 (col. LXVIII), EDR128082 (col. LXIX), EDR127579 et EDR127578 (col. LXXIII), EDR167976 (col. LXXXV)<br>In eadem columna EDR128066 et EDR171306 (stria 5)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXVIII, stria 10",The century (unit) of Lucceius,Graffito mentioning a centurion?,Graffito/incised,Latin,8649,"AGP-EDR128067, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128067&gt; [accessed: 27 Mar 2023]","col. LXVIII, stria 10",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#12296;:ad perpendiculum&#12297;
AB","Textus secundum (2), mensurae secundum (3). Contulerunt Benefiel et Sypniewski (AGP) a. 2019.<br>Littera A cum media linea obliqua scripta est; littera B ad perpendiculum (hic, deorsum) scripta est.<br>In eadem columna et prope EDR128053, EDR127366 (stria 12); EDR128052 (stria 14); EDR127572 (stria 15)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXIV, stria 13",,Alphabet,Graffito/incised,Latin,9289,"AGP-EDR167647, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167647&gt; [accessed: 27 Mar 2023]","col. LXXIV, stria 13",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#12296;:columna I, stria 4&#12297;
Leon
Leon
Leon

&#12296;:columna II, stria 5&#12297;
L&#818;e&#818;o&#818;n&#818;","Textus secundum (3); mensurae infra secundum (3). Contulerunt Benefiel et Sypniewski (AGP); vestigia verborum in stria 4 adhuc extant a. 2019.<br>Mensurae verborum in stria 4: Alt: 5,0; Lat: 5,0; Litt. alt: 0,3-3,1 cm<br>Ttituli in stria 4 videntur, titulus in stria 5 evanitus est a. 2019.<br>vv. 1-4: nomina eduntur sine mentione, in utra stria aut 4 aut 5 scripta sint, apud (2)<br>v. 3, stria 4: L LEON (1), LEON (2)-(3)<br>In campo ad amphitheatrum nomen Leon quinquies invenitur, hic et in columna proxima, col. XXV in stria 5 (EDR127573).<br>Prope EDR127574, EDR127575 (stria 6) <br>In eadem columna EDR127576 (striae 7-8), EDR127577 (stria 10)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXVI, stria 4-5","Leon, Leon, Leon, Leon",Graffito naming Leon,Graffito/incised,Latin,8671,"AGP-EDR128049, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128049&gt; [accessed: 27 Mar 2023]","col. LXXVI, stria 4-5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Lepidi,"Textus et mensurae secundum (2). Contulerunt Benefiel et Sypniewski (AGP); tectorio corroso, tantum vestigia nunc extant a. 2019.<br>v. 1: Lepidi vel L(uci) Epidi? (2)<br>Supra EDR127575<br>Prope EDR128049 (striae 4-5); EDR127576 (striae 7-8)<br>In eadem columna EDR127577 (stria 10)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXVI, stria 6",Of Lepidus,Graffito naming Lepidus,Graffito/incised,Latin,8672a,"AGP-EDR127574, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127574&gt; [accessed: 27 Mar 2023]","col. LXXVI, stria 6",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
&#12296;:textus non legitur&#12297;,"Textus secundum (4); aliter (1)-(2). Periit (4). Contulerunt Sypniewski et Benefiel (AGP) ad apographa apud (2)-(3) a. 2018. Contulerunt et Pompeiis non invenerunt Zimmermann Damer et Benefiel (AGP) a. 2019. <br>v. 1: PRAE(FECTVS?) (1); PRAEF(ECTVS?) (2)<br>In eadem columna EDR168295, EDR168296","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. CIX, stria 15",(Unclear series of letters),Series of letters,Graffito/incised,,8786,"AGP-EDR168294, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168294&gt; [accessed: 27 Mar 2023]","col. CIX, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Uxsor (:Uxor),"Textus et mensurae secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et non invenerunt. Tectorio nunc abraso, periit (4).  <br>v. 1: VXSOR pro VXOR (4); gravi cuspide incisus (2)<br>Supra EDR167972 (P(ublius) Siculus / Hermia), EDR147882 (circulus florem continens)<br>Prope EDR167974 (stria 6), EDR167975 (stria 7)<br>In eadem columna EDR167976, EDR160168, EDR167986","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXV, stria 5",Wife,Graffito,Graffito/incised,Latin,8697a,"AGP-EDR167971, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167971&gt; [accessed: 27 Mar 2023]","col. LXXXV, stria 5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"BE
SAG&#818;","Textus et mensurae secundum (3). Contulerunt ad apographum et emendaverunt Benefiel et Sypniewski a. 2018 (AGP). Contulerunt Pompeiis Benefiel, Zimmermann Damer, et Sypniewski (AGP); exigua vestigia omnium litterarum praeter litteram G adhuc remanent a. 2019.<br>vv. 1-2: Dubbia è. . . la lettura. Proporrei AVE (in nesso) / SPO(RE) (??) (1)<br>vv. 1-2: AVE / SPO(RE)? (2)<br>In eadem columna EDR167335 (stria 1), EDR167372 (striae 4, 5, 6, 9), EDR167373 (striae 13-14), EDR167398 (fasciola inter strias 18 et 19), <br>EDR167392 (stria 19), EDR167399 (fasciola inter strias 19 et 20), EDR167393 (stria 20)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXI, stria 15",(Incomprehensible series of letters),Graffito,Graffito/incised,Latin,8683a,"AGP-EDR167391, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167391&gt; [accessed: 27 Mar 2023]","col. LXXXI, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Felix,"Textus secundum (1), mensurae secundum (4). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Ante EDR168194<br>Supra EDR168194, EDR168148","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",Felix,Graffito naming Felix,Graffito/incised,Latin,2427,"AGP-EDR166751, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166751&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
&#12296;:ad perpendiculum; textus non legitur&#12297;,"Textus secundum (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3).  <br>v. 1: scripta signa minutissima (2)<br>Duae series litterarum ad perpendiculum in eadem stria scriptae sunt sed non legi possunt (3)<br><br>Permulti tituli crebri in hac columna inveniuntur:<br>In stria 5, unus titulus (EDR167690) et gladiator (EDR167542)<br>In stria 6, tres imagines et unus titulus inscripti sunt: caput hominis ad sin. (EDR167547), COPO (EDR168185), clipeus (EDR123457), et scyphus (EDR123458).<br>In stria 8, alterum caput hominis ad sin. (EDR167544).<br>In stria 13, X (EDR167692) et QVIBVS (EDR167691). <br>Etiam in eadem columna, in striis 14-16 MARE (EDR167694); in stria 15, A. LICINIVS  (EDR167695) et IVCVDVS / MALE CALA (EDR167696); in stria 16, caput hominis ad sin. (EDR167550); in stria 17 hic titulus.","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXIX, stria 17",(Unclear series of characters),Graffito,Graffito/incised,,8716,"AGP-EDR167697, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167697&gt; [accessed: 27 Mar 2023]","col. LXXXIX, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"((:herma, ad d. prospiciens))","Textus secundum (2). Contulerunt Benefiel et Zimmermann Damer (AGP) a. 2019.<br>Erma virile a destra (1)<br>Alta basis sub erma stat.<br><br>Permulti tituli in hac columna, multi quorum imagines sunt, inveniuntur.<br>Tituli in hac columna: EDR127187 (stria 4); EDR127426 (stria 6); EDR127185 , EDR173705 et EDR168071 (stria 11); EDR168073, EDR173785 et EDR168106  (stria 12); EDR168070 et EDR168077 (hic titulus, stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXIII, stria 12",,Drawing of an ancient herm,Graffito/incised,,"only in Della Corte 1939, p. 260","AGP-EDR173785, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR173785&gt; [accessed: 27 Mar 2023]","col. XXXIII, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Herm statue facing right atop a tall base,"((:herma, ad d. prospiciens))"
Si pudor quis,"Textus et mensurae secundum (1); periit (6).  Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: pars versus Verg. Ecl. VII.44 (Ite domum pasti, si quis pudor, ite, iuuenci.).<br>Prope EDR167976 (striae 10-13)<br>In eadem columna EDR167971, EDR167972, EDR147882, EDR167975, EDR167986","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXV, stria 14",If (there is) any modesty . . .,Quotation from Vergil,Graffito/incised,Latin,8701,"AGP-EDR160168, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR160168&gt; [accessed: 27 Mar 2023]","col. LXXXV, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Postumi ((quinque centum)),"Textus secundum (3); mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019. <br>v. 1: POSTVMI CI (1); POSTVMI CI = POSTVMIO (an POSTVMI C, i.e. centuria?) (2)<br>v. 1: titulus trans tres strias et duas fasciolas scriptus est.<br>Supra EDR168043 (stria 17)<br>In eadem columna EDR167990, EDR167991, EDR168021, EDR168023, EDR168019, EDR168042","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXVIII, striae 16-18",Postumius' - 500,Graffito naming Postumius,Graffito/incised,Latin,8710a,"AGP-EDR168020, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168020&gt; [accessed: 27 Mar 2023]","col. LXXXVIII, striae 16-18",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Sec+dus 
Secu+","Textus secundum (4); mensurae secundum (2). Periit (3). Contulerunt Sypniewski et Benefiel (AGP) ad apographum apud (3) a. 2019.<br>v. 1: SE[V]ERUS (2); II pro littera E scripta. Littera quinta legitur R apud (2) sed formam litterae D habet, in qua linea litterae ascendit supra alteras non descendit.<br>v. 2: SECV[N(DVS)] (2)<br>Infra EDR168021<br>In eadem columna EDR167990, EDR167991, EDR168019, EDR168020, EDR168042, EDR168043","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXVIII, stria 13","Secundus?, Secu(ndus?)",Graffito,Graffito/incised,Latin,8710b,"AGP-EDR168023, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168023&gt; [accessed: 27 Mar 2023]","col. LXXXVIII, stria 13",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
&#12296;:textus non legitur&#12297;,"Textus secundum (3).  Contulerunt Benefiel e Sypniewski (AGP) ad apographa apud (1)-(2) a. 2019.  Periit (3). Contulerunt Benefiel e Sypniewski (AGP) a. 2019 et non invenerunt. Emendaverunt ad apographa apud (1)-(2).<br>v. 1: Dubbia è la lezione . . . CUM E VANAS (??) (=SUME URNAS ?) (1); SUME URNAS (?) (2)<br>Prope EDR167673 (stria 13), EDR167674 et  EDR167679 (stria 14),  EDR167701 (stria 15), EDR167699 (striae 15-17) <br>In eadem columna EDR167672 (stria 7)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XCIV, stria 17",(Incomprehensible series of characters),Graffito,Graffito/incised,Latin,8734,"AGP-EDR167702, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167702&gt; [accessed: 27 Mar 2023]","col. XCIV, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
